#,Cesta,Soubor,Délka (řádky)
1,/,build.gradle.kts,~15
2,/,settings.gradle.kts,~18
3,/,gradle.properties,~12
4,/,gradlew,~100
5,/,gradlew.bat,~85
6,/gradle/wrapper/,gradle-wrapper.jar,binary
7,/gradle/wrapper/,gradle-wrapper.properties,~5
8,/app/,build.gradle.kts,~45
9,/app/,proguard-rules.pro,~35
10,/app/src/main/,AndroidManifest.xml,~110
11,/app/src/main/cpp/,CMakeLists.txt,~40
12,/app/src/main/cpp/,app-debug-toolkit.c,~2500
13,/app/src/main/assets/,frida-agent.js,~120
14,/app/src/main/java/com/apptoolkit/,AppDebugApplication.java,~70
15,/app/src/main/java/com/apptoolkit/,MainActivity.java,~280
16,/app/src/main/java/com/apptoolkit/,NativeBridge.java,~100
17,/app/src/main/java/com/apptoolkit/,DebugService.java,~60
18,/app/src/main/java/com/apptoolkit/,BootReceiver.java,~30
19,/app/src/main/java/com/apptoolkit/,SettingsActivity.java,~100
20,/app/src/main/java/com/apptoolkit/,AboutActivity.java,~35
21,/app/src/main/java/com/apptoolkit/data/,DatabaseHelper.java,~140
22,/app/src/main/java/com/apptoolkit/util/,PrefsManager.java,~75
23,/app/src/main/java/com/apptoolkit/util/,Logger.java,~75
24,/app/src/main/res/layout/,activity_main.xml,~80
25,/app/src/main/res/layout/,activity_settings.xml,~140
26,/app/src/main/res/layout/,activity_about.xml,~40
27,/app/src/main/res/layout/,drawer_header.xml,~30
28,/app/src/main/res/menu/,navigation_menu.xml,~40
29,/app/src/main/res/values/,themes.xml,~30
30,/app/src/main/res/values/,colors.xml,~14
31,/app/src/main/res/values/,strings.xml,~8
32,/app/src/main/res/values-v35/,themes.xml,~10
33,/app/src/main/res/xml/,network_security_config.xml,~20
34,/app/src/main/res/xml/,app_config.xml,~10
35,/app/src/main/res/drawable/,ic_terminal.xml,~12
36,/,build-and-deploy.sh,~150
